categoria,review
1,Parabéns o aplicativo atende todas as perspectivas do cliente se desenvolve com eficiência podem baixar que não vam se arrepender
1,Muito bom obrigado abraço.
1,"Facilitou muito p mim, principalmente pagar contas e transferência, muito bom."
1,Prático e Útil.
1,"Muito bom, adorei!"
1,Melhor app..Consigo adiantar muito a minha vida com ele. Prático e rápido. Excelente
1,Muito funcional otimo pra quem tem o dia corrido ajuda muito !
1,O aplicativo funciona bem e é bastante útil. Parabéns!!!
1,"Está ótimo, parabéns!"
1,"Super prático, e até o momento está sendo super útil pra mim."
1,"App muito bom, design simples, intuitivo e com várias funções!"
1,"Pratico, seguro e eficiente!"
1,Super pratico e funcional
1,Muito bom resolvi o meu problema
1,"aplicativo show 👏👏👏 amei super versátil, muito bom mesmo"
1,"Fácil acesso, pratico e por enquanto confiável."
1,Para as minhas necessidades esse App é excelente!
1,Parabéns melhor app do mundo
1,"Acho este app prático e eficiente.Consigo resolver problemas de pagamento e transferência rapidamente.Todos os serviços são bons, desde a recarga do celular até transferências."
1,Muito bom e muito fácil de realizar as transações. Me facilita muito as transações bancárias. Eu recomendo.
1,Ótimo aplicativo! Ficou muito mais fácil controlar minhas finanças!
1,"O app trava demais, é bom, mas poderia ser melhor"
1,App muito bom.. excelente para atividades bancária
1,"Um excelente app, intuitivo e bastante funcional. Parabéns aos desenvolvedores."
1,"Adorei abri a conta, rapido e facil"
1,"É bom, por enquanto tá tudo certo."
1,"Muito bom o aplicativo me facilita muito de não precisar ir no banco, pegar extrato.fui muito bem atendida na minha agência."
1,Estou muito satisfeita com o App Banco do Brasil
1,Muito bom e é uma mão na roda
1,Adorei muito bom mesmo parabéns bb
1,mt bom um adianto pra evitar filas
1,"Facilita minha vida, é prático e seguro(eu acho)!"
1,"Funciona muito bem muito mais fácil do que ir ao banco, seguro"
1,"Podia ser feita a integração com o nexus imprint fora isso, excelente app"
1,Adorei. facilitou muito minha vida.
1,Adorei sempre consigo ver minhas trasacoes merecem ate mas estrelas.
1,Otimo não trava muito prático de usar
1,"Facilita muito minha vida, parabéns aos desenvolvedores!"
1,Muito bom esse aplicativo 👏👏👏
1,"Muito legal, eu gostei!"
1,"Tem melhorado muito, mas uma pesquisa junto aos clientes para saber as funcionalidades que querem seria bom."
1,"Útil, fácil e prático. Gostei!"
1,Não tenho intimidade com esse serviço App mais acho q é muito bom
1,Gostei muito super recomendo!
1,Muito pratico! Muito rapido!
1,"Muito bom. A interface e simples, amigável e bem intuitiva."
1,Ótimo! Muito prático e fácil de utilizar!!!
1,Aplicativo muito bom mesmo... Atendeu a todas as minhas expectativas... Perfeito!!!!
1,"Funcional, prático e rápido!"
1,Muito bom. Ótimo. Ajuda muito no dia a dia. Valeu.
1,Uso sempre é ótimo!
1,Excelente Atendente muito bem Minhas Necessidades 👏👏👌👍
1,"Ótimo aplicativo, consegui abrir minha conta em minutos, sem toda aquela burocracia. Muito fácil acesso, controle e demais funções de conta. Amo muito. 😍"
1,Muito bom e fácil de mais para usar
1,Só parabenizar bb pelo app muito bom
1,Muito simples e bom
1,Muiiito prático!!!nota 1000
1,Gosto muito nada contra funciona perfeitamente
1,App bem simples e prático. Excelente.
1,Muito bom atende toda as nossas necessidades
1,Aplicativo pratico e rapido!
1,Parabéns pelo novo desenho do aplicativo. E o desempenho melhorou bastante em relação ao anterior.
1,"ótimo aplicativo tem tudo o que preciso, atendimento ótimo e o melhor ainda é que posso resolver tudo pelo chat recomendo muito"
1,Gostei muito mas precisa melhora ainda na questao de especifica mas aos cliente tudo oq pode ser feito por ele mas em si ta muito bom
1,"Aplicativo prático, super fácil e rápido. Ainda oferece um campo MINHAS FINANÇAS que auxilia no controle de gastos pessoais. Fantástico"
1,Muito bom e super eficaz.
1,Aplicativo muito bom!!!Adorei
1,"Muito bom, tenho também. De outros bancos, mas este é melhor"
1,"Muito bom, facilitou muito minha vida, transações básicas feitas online com facilidade e rapidez."
1,"Atende minhas necessidades, muito prático."
1,"Com esse aplicativo, nem preciso mais sair de casa para resolver questões bancárias. Tudo funciona perfeitamente."
1,"Aplicativo muito bom, prático! Especial para quem quer comodidade e agilidade. Recomendo!"
1,"Muito, super, tudo de bom... nunca mais ir no Banco... satisfeita d+"
1,Prático Simples Ágil
1,gosto muito! esse app estar de parabens 💋
1,Parabéns a equipe de desenvolvedores. Queria fazer parte de de uma equipe assim.
1,"Recomendo, super fácil e prático este APP"
1,Até agora funcionado perfeito.
1,Ótimo facilita muito parabéns banco do Brasil
1,Excelente aplicativo! Parabéns ao Banco do Brasil.
1,Fácil de usar e muito prático
1,"Muito bom o app , rápido e seguro"
1,Cada vez melhor! Parabéns aos desenvolvedores!
1,"Muito prático, mas ainda pode melhorar na autonomia do cliente."
1,"App bem dinâmico, parabéns!!!"
1,Muito prático. Todas as facilidades de um banco na palma da mão!
1,Um dos melhores aplicativos para se usar!❤️ Muito rápido e prático 😍😍
1,Excelente e muito importante
1,"Excelente!!!! Adeus, filas de banco 😁😁"
1,Achei um aplicativo muito prático e eficiente.
1,"Amei este aplicativo, não trava. Estão realmente de parabéns.. amei"
1,"qnd compramos alguma coisa cai imediatamente, é muito bom."
1,Muito bom E legal
1,Muito bom . Facilita muito o dia dia .
1,"Atendeu minhas expectativas, bem completo !"
1,Super fácil e prático de mecher.
1,Atende muito bem às expetativas. Facilita na mudança de aparelho de celular. É seguro. Responsáveis pela elaboração do App BB estão de Parabéns! Recomendo o uso.
1,Muito bom. Resolve quase tudo
1,"Aplicativo bastante intuitivo. Muito bom, especialmente quando comparado com o lixo produzido pela Caixa Econômica."
1,"Amei, muito bom"
1,Estou gostando muito prático achei ótimo
1,Pra mim sempre funciona perfeitamente. Adoro!
1,Muito bom!! tem me atendido com o que promete
1,App mto bom e agil
1,App muito bom me da todos os dado que eu necessitou sem preocupações!!!
1,Um banco nota 10 !
1,"Ganhei tempo, praticidade, muito bom."
1,"Muito bom! É show de bola, tem tudo!"
1,Muito bom esse app... fácil e nem funcional!
1,Obrigado por mais uma vez solucionar o problema tão rápido. ...nota 10 a assistência técnica BB
1,Funcionou perfeitamente todos os serviços! Muito útil
1,Todas as funcionalidades na sua mão. Funcionamento perfeito e de fácil acesso.
1,Está de parabéns este aplicativo
1,Muito bom atender as necessidades
1,Muito bommmm mesmo facilitor minha vida
1,"É prático, rápido e eficiente."
1,Excelenteeeeee... Sem palavras muito bom... Cumpre bem o que diz.
1,Estou muito satisfeita! Supri as minhas necessidades.
1,"Em geral é um bom app , facilita muita coisa"
1,Muito bom... Recomendo. Atende perfeitamente as minhas necessidades.
1,"Show, muito prático e rápido!"
1,Pratico rápido muito bom
1,"Muito bom, dá pra resolver tudo,esteja onde estiver! Parabéns!"
1,Muito bom... Facilita muito a vida da gente.
1,Muito bom e de fácil entendimento!
1,Excelente. Realmente um App funcional que diminuiu em 95% minhas idas ao banco e resolveu 100% dos meus serviços costumeiros.
1,"Eu adoro ,só o fato de vc ter o banco no cel e fazer o que vc tem q fazer até deitada muito bom"
1,"Muito bom, é possível resolver várias coisas no aplicativo."
1,Aplicativo muito útil parabéns
1,Não adoro porquê só adoro a Deus .mas recomendo ele é ótimo
1,Excelente App. Consigo resolver tudo que preciso pelo smartphone.
1,Abri minha conta pelo aplicativo foi muito fácil. E prático Muito bom resolve muitas coisas muito satisfeita
1,Prático e solutivo
1,Gostei muito estão de parabéns
1,Pratico e rapido...gostei...
1,Muito bom. Ter o Banco na palma da mão. Faço tudo pelo APP.
1,É um App muito bom
1,Muito bom me ajuda!Bem prático
1,"Ôtima aplicativo, estão de parabéns os desenvolvedores, gostei bastante nota 10 agora eu resolvo tudo em casa."
1,"Aplicativo excelente, muitos rápido!"
1,"Muito bom e prático, facilita o dia a dia, principalmente de não ter q enfrentar filas do banco! Aqui vc pode resolver seus negócios bancários em um click."
1,Ótimo!! Perfeito
1,Simplesmente um banco em todas as horas. Parabéns BB!!!!
1,Excelente! Facilitou e muito minha vida!
1,Depois da última atualização ficou muito bom.... aprovado
1,Prático confortável cômodo seguro um luxo
1,App super prático e seguro.
1,Mto prático a navegação e excelente APP.
1,Aplicativo eficaz e satisfatório!
1,"excelente, rápido e seguro, bom pra todos"
1,Mto bom aplicativo super indico
1,"Ótimo, excelente, maravilha. Gostei e recomendo ..."
1,"Prático, leve ótimo"
1,"Muito bacana, muito legal."
1,Bom Aplicativo. Oferece praticamente toda a interface de trabalho do BB de forma rápida e prática.
1,"Ótimo , muita praticidade."
1,"Uso só para fazer pagamentos! Leitura muito rápida! Até o momento, eu gosto e recomendo!"
1,Muito bom eu sou fã do banco do Brasil
1,"Praticamente tudo por aqui, mas tem coisas que há no site que não tem no app, por exemplo, pagamento de tributos! Mas no geral é muito bom sim!"
1,"Depois desse APP, raramente preciso ir ao banco. Muito bom!"
1,Muito bom sempre uso!!!
1,Gostei muito! Achei prático e facilita muito.
1,Excelente! Leve e funcional!
1,"Super prático e eficiente. Além de muito leve, tornando-o mais rápido. Parabéns ao desenvolvedor."
1,"Muito, prático,amei"
1,"Apesar de pedir senha toda vez que entra, é muito bom!"
1,Amei... prático e rápido.. espero q continue assim...
1,"Ficou ótimo, parabéns acertaram"
1,Muito bom app excelente um dos melhores que já usei pra banco
1,"Aplicativo muito bom, veio pra facilitar"
1,"Show de bola Esta muito bom. Sugestao: compartilhar os recibos no whatsapp, hoje só oferta compartilhar por email,...."
1,Muito bom fácil rápido. Parabéns BB
1,Melhor aplicativo de banco! Só tenho que elogiar! Muito bom mesmo
1,"Muito bom o aplicativo, rápido e descomplicado!"
1,Parabéns pela atualização
1,ótimo! obrigado pela dica. agora consigo salvar os comprovantes... excelente aplicativo... sem dúvida um dos melhores na categoria.
1,"Prático, e solucionável."
1,Otimo e prático.
1,"Muito bom, gostei do aplicativo"
1,Eu adoro esse aplicativo. .
1,Ele bom mais gostei muito
1,Aplicativo excelente não trava e posso resolver tudo que quero !!!
1,"Muito bom, vale a pena..."
1,Acho que está ótimo e se tiver alguma melhoria ficará perfeito!
1,"O aplicativo sempre funcionou de forma fluida. Entretanto, de uns tempos pra cá, mesmo atualizando o app, a transição entre funções está lenta, sempre exibindo uma tela preta e às vezes travando. Isso torna o aplicativo muito incômodo e não prático, como sempre foi."
1,"Ótimo ,recomendo ,economiza tempo."
1,"muito rapido e facil de usar,resolvi tudo com agilidade parabéns"
1,"Excelente, rápido e prático!"
1,"ótimo aplicativo,simples e prático.. só falta ter mais dinheiro na conta..kkkk"
1,Ótimo aplicativo! Funciona perfeitamente bem...
1,Aplicativo dar muita agilidade!
1,Não é tão bom mais da pro gasto nota:9
1,Para mim otimo. Consegue suprir minhas necessidades Super recomendo
1,Muito fácil e prático de usar ! App muito completo que ajuda muito no nosso dia-a-dia. Recomendo a todos.
1,"Prático, rápido e simples ..."
1,"Excelente, facilita muito minha vida, posso trabalhar cumulativamente... muito bom."
1,Gosto de trabalhar com esse banco ele é muito bom tem muitas opções.
1,Muito bom facilitou meu dia a dia
1,Otimo rapido e pratico..
1,Excelente! Nos atende em quase tudo.
1,"Ficou melhor asim porque não enfrentamos filas para paga qualquer,conta.estão de parabéns."
1,"Aplicativo atende a todas as minhas necessidades bancárias, parabéns aos desenvolvedores."
1,App muito bom facilitou mais o meu dia a dia
1,Otimo. Muito eficiente. Atende todas minhas necessidades.
1,Muito pratico tudo na palma da mao .
1,Moto bom rapido facil
1,Adorei prático e fácil!😘
1,"Amo! Faço tudo por ele, super fácil"
1,Agora sim. Muito bom.
1,Muito mais prático e rápida
1,Muito bom e prático super recomendo 😍
1,Para app de bancos muito bom excelente é muito simples de manusear
1,Seguro e muito fácil de usar! interface amigável e que coloca todo um resumo das informações que o cliente precisa saber de modo bem claro. Parabéns!
1,Excelente aplicativo. Facilita muito.
1,App fácil e prático de usar muito completo.
1,Muito bom facilitou bastante meu cotidiano
1,Gostei muito bom facilita a vida
1,Muito bom consigo resolver tudo que preciso pelo app
1,Muito bom App. Resolve o que preciso.
1,"Até agora tudo OK, bem funcional o app! Muito bom"
1,"Sou novata, breve terei uma opinião formada, mais parece bom"
1,"Pratico, rapido e tem as principais funcoes!"
1,"App muito bom , facilita muito no dia a dia..."
1,Una excelente aplicación
1,Rápido prático e eficiente...só está faltando depositar cheque online....ou fazer transferência para outros bancos..mesmo assim está bom
1,Bem prático e estou satisfeita
1,"Sempre que precisei, funcionou perfeitamente."
1,"Merece até mais que 5 estrelas só por me tirar das filas até da casa lotérica,app muito fácil de usar não fico mais com dinheiro no bolso e se quero pagar minhas contas kkkkkk essa é a parte mais fácil,pago do conforto de minha casa deitadinho em minha cama parabéns ao banco do Brasil por esse ótimo aplicativo"
1,App muito bom. Altamente recomendável
1,Aplicativo super pratico e de facil manuseio.
1,Rápido e prático recomendo
1,Recomendo muito Bom! Facilitou muito a vida
1,"Facilita muito a vida dos clientes, adoro o app"
1,Muito bom. Poupa muito o meu tempo. Comodidade garantida.
1,"Muito bom, facilita o gerenciamento do tempo."
1,Muito bom uma qualidade excelente.
1,Muito fácil de manusear. Indicaria com toda certeza para outras pessoas. Parabéns BB
1,Amei esse app resolvo muitas coisas por ele e muito semples e legal
1,"APP bom,me ajuda bastante..."
1,"Gostei muito de usar, ajuda bastante!"
1,Aplicativo super prático e de facil acesso.
1,Perfeito!! Completamente seguro e muito prático!
1,"Muito bom mesmo. Prático, útil e seguro.. 👍"
1,Prático e eficiente. Muito bom!
1,Muito bom. Ágil e prático.
1,Muito rápido e eficiente. Recomendo a todos.
1,Muito bom! Deixei de ficar esperando atendimento nos bancos!.
1,Simplesmente perfeito!!
1,"Perfeito para quem quer resolver tudo pelo smartphone, simples e prático."
1,"Consegui, era permissão do armazenamento! Obrigado, muito bom o app! Poderiam dar uma repaginada no design."
1,"Acesso rápido e fácil muito bom, nem preciso ta tirando extrato no caixa eletrônico ótimo"
1,Muito bom!!! É com certeza o melhor aplicativo de Banco no momento.
1,"O melhor APP de banco que eu já usei... Rápido, prático e super fácil de usar... Agilizou minha vida em 100℅"
1,"Muito bom, resolvo tudo pelo aplicativo.."
1,"Funciona sem travar, perfeito."
1,"Gostei ,muito eficiente!!!!"
1,Muito bom em um minuto vc faz pagamento e mais coisas.
1,"É prático, seguro."
1,Para o que eu necessito está perfeito..
1,Muito bom esse App gostei muito atender a minha necessidade.
1,Gostei bastante e prático
1,"Muito bom,cada vez melhor"
1,"Adorei! É rápido, prático e bem confiável. Já estou utilizando há cinco anos. Eu indico com certeza."
1,Excelente! Meu banco em minhas mãos!
1,"pra mim ta ótimo, até agora correspondeu as minhas necessidades, faço transferência de boa , pagamentos tbm ... sobre as mudanças estou me divertindo me familiarizando com a nova atualização. sim, amei o desbloqueio digital, perfeito nota 10."
1,Muito bom! Recomendo pra quem é utilitário do banco
1,"Muito bom, prático, útil, seguro. Recomendo."
1,Muito bom adoro esse App ajuda muita gente
1,"Gostei, é simples e pratico."
1,Muito bom...agilizou Meus afazeres do dia a dia
1,Prático e poupa muito tempo!
1,Gostei do app.muito bom
1,"Muito prático, claro, fácil de manusear e rápido!"
1,Muito bom o aplicativo. Otimo. Amei. Recomendo com certesa
1,"Facilita muito a nossa vida, muito bom!"
1,"Muito bom , pois agora pego senha sem ir ao banco , pego a senha no aplicativo e so vou ao banco ser atendido."
1,"Gosto bastante, muito prático e funcional."
1,"Rápido, prático e fácil, realizo todas as minhas transações por ele."
1,Excelente de Boa qualidade
1,Muito bom Facilitou minha vida é muito Obrigada pelo atendimento.
1,Muito bom! Uma mão na roda!
1,Amei esse aplicativo muito bom.
1,Ótimo App. Parabéns.
1,"Perfeito,p ficar ainda mais top,só falto um meio menos complicado de pagar contas de aguá,luz e gás"
1,"Aplicativo excelente. Super prático, cômodo e seguro. Todas as opções são facilmente acessadas e você pode criar atalhos para as transações que mais utiliza."
1,Mt bom esse app. Resolvo mt coisa sem sair de casa
1,"Muito rápido e prático, facilitando muito a minha e a sua vida"
1,"App bem meia boca, assim como os serviços prestados pelo banco. Confudem segurança com burocratização e tornam o app o oposto do que deveria ser... No mínimo prático e fonte de soluções."
1,"Amei, muito prático"
1,Facilita muito..... comodidade... perfeit
1,"Totalmente prático, adequado às minhas necessidades"
1,"Gostei,acho pratico"
1,muito bom...atende as minhas necessidades
1,"Simples, ágil e eficiente ! ! !"
1,"Adorei o aplicativo, rápido, eficiente e não trava. Vale muito a pena"
1,Muito bom! Facilita bastante o dia dia...
1,Facil e muito rápido. Para consultas simples é excelente. Muito prático e intuitivo.
1,"ótimo, fácil e pratico"
1,Super prático e rápido.
1,"Essa última versão tem apresentado alguns bugs, mas de uma forma geral é um app muito bom!"
1,Facilita muito a minha vida. Está de parabéns.
1,"Top,muito bom!!!"
1,"Muito bom o app, bem intuitivo e de fácil entendimento, faço tudo por ele, livre das filas e esperas longas no banco para coisas simples e corriqueiras."
1,Simples e prático!!! Facilita muito a vida dos seus clientes!!!!
1,O aplicativo me proporciona mais rapidez ao ver saldo ou depósitos feito. Mais para outras coisas sempre tem que pedir autorização. Mais é bom.
1,Gostei Este aplicativo eh muito bom
1,"Muito prático e eficiente. Tem todas as funções mais importantes do banco, consigo fazer tudo pelo app. Excelente mesmo!"
1,Muito bom e atende todos as nossas necessidades
1,Muito prático...seguro..é ótimo!
1,Perfeito pro dia a dia
1,"Muito bom, consigo fazer o que preciso no dia a dia."
1,"Pratico, excelente, parabens"
1,"Uso muito mais o aplicativo do que o TAA. Muito bom ! Porém falta a opção de pagamento de IPVA, licenciamento, etc..."
1,Eles tem q usar a simplicidade igual a do Itaú. Tem q ser mais prático. O app do Itaú é bem mais fácil de fazer as coisas
1,Realmente é muito bom esse aplicativo. Eu recomendo.
1,Facilita muito o nosso dia a dia. Muito bom
1,Melhorou muito. Parabéns pela nova versão.
1,É muito bom e prático!
1,Parabéns Banco do Brasil. Pelo respeito aos seus clientes.
1,Muito prático e seguro... recomendo
1,Otimo app. Estão de parabéns.... nunca me deu problemas. Ameiiii
1,"Muito bom, prático, fácil de remanejar quem instalar o aplicativo vão gostar. Útil e ajuda no seu cotidiano, facilitando cada vez mais..."
1,É ótimo esse aplicativo adorei
1,Gosto pq é prático e rápido
1,"Ótimo, prático e funcional!!"
1,"muito eficaz no dia a dia, é show papai."
1,Excelente aplicativo. Literalmente um banco na palma da mão.
1,Acho que e bom
1,"Adorei faz muito tempo que eu tenho fasso tudo pelo app,parabens pelos programadores que fizerem e com a atualizaçao fico ainda melhor eu recomendo"
1,Uma mão na roda excelente.
1,"App fantástico, a facilidade de uso é muito intuitiva e rápida, excelente."
1,"Muito bom mesmo, resumindo: prático"
1,Aplicativo excelente e de fácil entendimento.
1,Muito prático. Excelente. Condiz com a vida moderna.
1,Adoro esse app super útil.
1,Me satisfaz muito o app. Muito bom
1,Prático e rápido. Show de
1,"Excelente aplicativo! Super recomendo! Prático e versátil...Enfim: ""Bom pra todos"" hehehe."
1,"Excelente, curti muito !"
1,"É muito prático, bem útil!"
1,"Poucas vezes trava, mas no mais é bom"
1,O aplicativo é perfeito. Faço tudo sem sair do sofá.
1,Muito bom vale a pena
1,Adequado e satisfatório dentro das minhas necessidades. Muito prático.
1,"Muito bom, app que facilita a vida dos clientes."
1,Satisfeito no que eu preciso!!!
1,Só precisa melhorar essa parte de ter que ir no caixa eletrônico o resto e tudo ótimo. Maravilhoso!parabéns a equipe
1,"Prático, fácil e seguro. Parabéns ao BB."
1,"Ótimo , não trava , tenho todas as opções que tenho no caixa...Perfeito."
1,"ótimo, muito prático."
1,Muito bom para o meu Samsung galaxy s4
1,Muito bom e preciso.
1,Estou muito satisfeita com as opicoes deste aplicativo
1,Bem eficiente e prático! Mas falta algumas funções.
1,"Excelente! Funcional, prático e muito ágil!"
1,"Rápido, fácil de usar, prático e o melhor sem filas... Excelente app"
1,Satisfeita até o momento! !!!!
1,É prático simples é rápido. Facilita muito meu dia a dia.
1,Ate o momento estou satisfeita !
1,"Muito prático, consigo fazer transação em todos os lugares !!!"
1,"Ótimo, pratico e nunca tive problemas."
1,App Muito bom e pratico
1,Muito bom esse app eu faço minhas transações sem problemas com ele parabéns ao criador...
1,"Muito útil, me poupa muito tempo e trabalho de ir ao banco ou caixa eletrônico, prático e eficiente."
1,Muito funcional e seguro. Recomendo
1,"Gostei, muito bom o app"
1,Bom aplicativo. Ajuda bastante no dia a dia
1,Muito bom este App show de bola.
1,"Muito bom mesmo. Pratico, rapido, seguro e não trava! Bem que as agências do bb poderiam ser assim também! 😂😂😂"
1,"Adorei esse app, faço minhas transações em casa, mais seguro e prático."
1,Tão útil quanto prático.
1,Muito bom...muita acessibilidade
1,Um excelente aplicativo muito bom mesmo.👍
1,"ótimo aplicativo,muito fácil e prático de lidar."
1,Prático e fácil tudo aqui na palma da minha mão
1,Ótimo consigo ter ótimo acesso recomendo !!!!
1,"Muito bom, facilitou a minha vida!"
1,O aplicativo apresenta-se como uma excelente ferramenta para agilizar as tarefas do dia a dia de seus usuários.
1,Excelente app! Facilita muitas tarefas!
1,"É uma mão na roda , muito bom ."
1,"App, bastante eficiente para minhas transações. Recomendo para mais facilidade no dia à dia"
1,Muito bom...me poupa tempo e resolvo tudo muito rápido
1,Ótimo app muito fácil e seguro adorei
1,"Falta um gerenciador financeiro, mas é muito bom e dá poucos bugs!"
1,Muito bom. Me poupa tempo
1,Mas é muito bom!
1,Sinônimo de praticidade!
1,"Muito bom, super útil..."
1,Muito bom. Supera minhas expectativas.
1,Muito prático e útil. Recomendo
1,Muito bom era isso que eu queria..parabens
1,Muito bom i tira muitas dúvidas
1,"Excelente aplicativo, facilita muito a vida de quem é correntistas no BB."
1,O aplicativo é uma excelente ferramenta de acessibilidade para os clientes
1,muito bom!!! me ajuda muito.
1,Muito bom facilita muito minha vida
1,"Fácil utilização, rápido e prático."
1,Excelente! Recomendo!
1,"muito bom o app, todas funções funcionam corretamente 👏👏"
1,Muito bom Facilita muito nosso servico
1,Praticidade com segurança em mãos! Ótimo!!!
1,Prático e útil ;)
1,Muito bom é bem pratico...
1,"Muito bom economiza tempo, é bem simples e seguro"
1,App perfeito prático e seguro.
